nBase,VE2_A,nHetero,nF,ATSC7are,AATSC0d,GATS1dv,GATS1s,BCUTs-1h,nBondsT,C3SP3,Xc-5d,NaasC,NssssC,NaaN,IC2,PEOE_VSA3,nHRing,nARing,nFAHRing,JGI2,MAXaaCH
1,0.09798686373424624,9,2,-0.001697743944626899,0.5716262975778548,0.5617694363899967,0.5733116546919421,8.00296960947016,0,3,0.5499666860879161,4,0,0,5.114813288875258,8.78083009534964,2,3,0,0.059198542805100215,1.992062706830784
2,0.1494259066255232,9,1,1.6851080000000005,0.7032098765432099,0.4395762930896051,0.6734033706388901,8.001919530270285,0,1,0.7461937318693682,5,1,2,5.0247519850262545,19.350776822204907,2,1,0,0.10582010582010584,1.5498927626606198
2,0.19431743411557784,5,1,1.0928752499999987,0.669375,0.5643591737063726,0.6423692063452755,8.001917406680228,0,3,0.4633731610262557,2,1,0,4.484183719779192,9.382819780310488,2,3,1,0.09595959595959598,1.8292767384731672
2,0.15372250236323184,11,6,3.8794666666666657,0.8004535147392291,0.4087592348513752,0.6310255059409636,8.009232125107767,0,1,0.8109738607199475,5,2,1,4.76459056619304,23.147628396607328,2,1,0,0.0938271604938272,1.3526729254371057
2,0.14519849870185092,9,1,6.543864435742253,0.8052687789248845,0.5330946923172919,0.6861393440852955,8.001921373967283,0,2,2.1355018014124503,3,2,0,4.798029652390666,17.602749216075576,2,2,0,0.12293144208037834,1.4387047666288737
1,0.12993677107072502,10,0,-0.5570840220385586,0.5041322314049586,0.5602640095683682,0.9552160780669144,4.005300180640044,0,0,0.2475997599422481,6,0,3,4.621813582814049,4.9839785209472085,4,2,0,0.052287581699346435,1.9833953147173555
2,0.15475490859052246,10,0,0.17012892561983514,0.6528925619834709,0.5235207426456152,0.7480741303012757,7.0082713302903565,0,2,0.4978909578906803,3,1,3,5.169547811769943,19.944340295477293,4,2,1,0.08465608465608468,1.8112367724867724
2,0.13844408374374675,9,5,4.059894431869621,0.7632412856496148,0.4239215686274509,0.6146628448103405,8.008542027579534,1,1,0.7764560638555228,4,2,0,4.779985193027283,13.773234827985306,2,1,0,0.08714596949891071,1.8810926168937605
1,0.12306871039833292,8,0,-1.8183057421655064,0.5610808782135486,0.5736225993028249,0.6318711594265172,7.008274860276702,0,0,0.3836825234302025,7,0,0,4.575421870142263,4.992404732635669,2,1,0,0.06153846153846158,2.1160520922890496
1,0.1592237214846095,6,0,-1.5556649256198285,0.5619834710743798,0.5205639930130063,0.550175538794914,7.009372529734066,0,0,0.4951995198844962,5,0,0,4.077444135156096,4.794537184071822,2,1,0,0.07111111111111114,2.0622455803308983
1,0.11990814913253935,7,2,-0.6216266982248481,0.6707692307692308,0.5253096959843263,0.6136190930246973,8.00296466053109,0,2,0.6106504100245023,5,2,0,5.0198868982787594,8.78083009534964,1,2,0,0.08666666666666667,2.19298140218234
1,0.11633232972737165,7,2,0.0749956295525506,0.6243496357960461,0.5450678390496708,0.6046014195414737,8.002964303099066,0,1,0.4176908144772009,5,1,0,4.979899988506767,8.78083009534964,1,2,0,0.0732860520094563,2.183722142923081
1,0.11414116644315835,6,0,-2.5871741219008237,0.5453254132231404,0.6795015689114169,0.7198856475864132,7.009364613349713,0,4,0.7508306395915204,3,1,0,4.810196573783792,0.0,0,1,0,0.08333333333333336,2.2055498237112543
1,0.1239499019408804,10,1,-0.6876918402777713,0.6597222222222222,0.6543136468408207,0.7626927292076354,8.001923676951696,0,1,0.8190355937288492,6,1,0,5.030493056757483,12.808212032003755,0,0,0,0.08576998050682264,1.9162574572175888
