nBase,VE2_A,nHetero,nF,ATSC7are,AATSC0d,GATS1dv,GATS1s,BCUTs-1h,nBondsT,C3SP3,Xc-5d,NaasC,NssssC,NaaN,IC2,PEOE_VSA3,nHRing,nARing,nFAHRing,JGI2,MAXaaCH
1,0.138570011861553,4,0,-0.9176157950010436,0.530560806553245,0.6426511086196949,0.5907140273097027,7.008273731466532,0,0,0.439238078985758,6,0,0,3.7413880091357297,0.0,1,1,0,0.064030131826742,2.1900803424780144
1,0.1370026592096362,9,0,-0.3912040175310347,0.6006208911614318,0.6473866514463952,0.7707894094368755,7.014581157081561,0,2,0.8190355937288492,4,0,1,5.028021987720567,13.401775505276143,1,1,0,0.0929705215419501,2.02599769157569
2,0.1247462655833318,10,0,2.3594000000000004,0.646848989298454,0.498304164607137,0.7553266155138719,7.008273807316539,0,1,0.6293368136564823,8,1,2,5.211260736432278,9.976383253582878,5,3,1,0.0814814814814815,1.989853004957553
3,0.1274879290396871,10,2,5.130320811287505,0.7845804988662134,0.3685670610881503,0.6064767789204165,8.002965744656615,0,2,1.0333296392420754,9,2,2,5.123717423328212,14.960361774530089,5,3,1,0.0961857379767828,1.7096190791131267
2,0.1293225732613574,10,1,5.258951658163259,0.8724489795918368,0.4950191951993566,0.7235298345440432,8.001922180132178,0,2,2.305514035123139,6,2,1,4.8915654128586015,17.79219055295097,2,1,0,0.1234567901234568,1.5784312400095228
3,0.121783919913532,9,0,5.719243265306092,0.6971428571428571,0.4851530304757875,0.6770505951758158,7.009363962055023,0,2,0.8310952857446711,4,2,0,4.5750831952382365,4.794537184071822,2,2,0,0.0957854406130268,1.843109931644834
1,0.1470957800747208,3,0,-0.5191312722948905,0.5802615933412603,0.6707242848447964,0.5357732038730301,7.008270475922253,0,2,0.6168265449687603,3,1,0,4.118431805652036,0.0,2,3,0,0.0917874396135266,2.281161764088352
3,0.1312301665902289,8,2,3.349842123724469,0.6272321428571429,0.4926517632903295,0.6396735839602348,8.004642431426308,0,1,0.7558734326568554,4,1,0,4.878085278891395,4.992404732635669,1,1,0,0.0869565217391304,1.9303663175682475
2,0.1342918768785698,11,4,10.406199999999997,0.7295918367346941,0.4153605015673981,0.6252253299994184,8.007932591871239,1,1,0.8597893971888562,3,2,0,4.954239966507294,14.177356964382309,2,2,0,0.0933333333333333,1.3298727525330611
2,0.153285526991927,9,2,-0.6110814396192743,0.6841165972635336,0.5389345121389328,0.6392072849450879,8.004639730182875,0,1,0.6879108717371414,4,1,1,4.784142858171085,13.764808616296849,2,1,0,0.0944444444444444,1.6815317952249769
0,0.1503386494099267,5,1,0.8800170068027203,0.5629251700680271,0.5132865069059144,0.6330410666784801,8.001920304180633,0,0,0.1178511301977579,5,0,0,3.944492772607957,4.39041504767482,0,0,0,0.0784313725490196,1.6555139749851289
1,0.1004470933060183,9,0,2.275242517056183,0.6273769777906809,0.6325534320272519,0.7976877024721687,7.0082751877558485,0,1,0.3372672270190456,6,2,2,5.319030509759642,9.967957041894415,3,2,1,0.0634920634920635,2.2134039281199764
0,0.1680835860805532,8,0,-0.6876499423298741,0.6651287966166858,0.5948090066016848,0.8208471453285947,7.014209714395308,0,0,0.377530830985245,7,0,2,4.593610635919458,18.385754026223356,1,0,0,0.0671834625322997,2.0353665247783628
1,0.1055797777772021,10,0,1.9653360388484364,0.5702393340270551,0.6826367466706793,0.7800973865445708,7.01458735760432,0,1,0.8880711874576984,7,0,0,5.32574230224264,8.417796984328938,1,1,1,0.0740740740740741,2.1666515505389743
1,0.1593305851061728,7,0,-0.2948892561983463,0.6677685950413218,0.7915309563010633,0.8406701251989938,7.014209960885602,0,2,0.4424500897298753,5,0,0,4.951332723444599,8.417796984328938,1,2,0,0.077020202020202,2.1803848927257463
